ID,Year_Birth,Age,Age_Range,Education,Marital_Status,Income,Kidhome,Teenhome,FamilyMember,Dt_Customer,Recency_x,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,WinesExpense,FruitsExpense,MeatExpense,FishExpense,SweetExpense,GoldExpense,TotalSpent,PurchasedItemTotal,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,FreqPurchased,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,PromoReceived,Response,PromoAcceptedCat,IncomeCategory,Recency_y,Frequency,Monetary,RFM Segment,RFM Score,RFM Level
2569,1987,27,Gen Z,Bachelor,Married,17323.0,0,0,2,2012-10-10,38,3,14,17,6,1,5,96,56,85,51.0,2.27,50,340.27,46,1,1,0,3,8,5,0,0,0,0,0,0,0,0,Never accepted promos,Lower,38,5,340.27,311,5,Need Attention
2114,1946,68,Baby Boomers,Doctoral,Single,82800.0,0,0,1,2012-11-24,23,1006,22,115,59,68,45,32192,88,575,501.5,154.36,450,33960.86,1315,1,7,6,12,3,26,0,0,1,1,0,0,3,1,Accepted promos,Upper,23,26,33960.86,404,8,Promising Customer
9736,1980,34,Millennials,Bachelor,Married,41850.0,1,1,4,2012-12-24,51,53,5,19,2,13,4,1696,20,95,17.0,29.51,40,1897.51,96,3,3,0,3,8,9,0,0,0,0,0,0,0,0,Never accepted promos,Lower-Middle,51,9,1897.51,222,6,Need Attention
4939,1946,68,Baby Boomers,Bachelor,Cohabitation,37760.0,0,0,2,2012-08-31,20,84,5,38,150,12,28,2688,20,190,1275.0,27.240000000000002,280,4480.24,317,2,4,1,6,7,13,0,0,0,0,0,0,0,0,Never accepted promos,Lower-Middle,20,13,4480.24,432,9,Loyal Customer
6565,1949,65,Baby Boomers,Master,Married,76995.0,0,1,3,2013-03-28,91,1012,80,498,0,16,176,32384,320,2490,0.0,36.32,1760,36990.32,1782,2,11,4,9,5,26,0,0,0,1,0,0,1,0,Accepted promos,Upper,91,26,36990.32,104,5,Need Attention
2278,1985,29,Millennials,Master,Single,33812.0,1,0,2,2012-11-03,86,4,17,19,30,24,39,128,68,95,255.0,54.480000000000004,390,990.48,133,2,2,1,3,6,8,0,0,0,0,0,0,0,0,Never accepted promos,Lower,86,8,990.48,121,4,Need Attention
9360,1982,32,Millennials,Bachelor,Married,37040.0,0,0,2,2012-08-08,41,86,2,73,69,38,48,2752,8,365,586.5,86.26,480,4277.76,316,1,4,2,5,8,12,0,0,0,0,0,0,0,0,Never accepted promos,Lower-Middle,41,12,4277.76,332,8,Promising Customer
5376,1979,35,Millennials,Bachelor,Married,2447.0,1,0,3,2013-01-06,42,1,1,1725,1,1,1,32,4,8625,8.5,2.27,10,8681.77,1730,15,0,28,0,1,43,0,0,0,0,0,0,0,0,Never accepted promos,Lower,42,43,8681.77,343,10,Loyal Customer
1993,1949,65,Baby Boomers,Doctoral,Married,58607.0,0,1,3,2012-12-23,63,867,0,86,0,0,19,27744,0,430,0.0,0.0,190,28364.0,972,3,2,3,9,8,17,0,1,0,0,0,0,1,0,Accepted promos,Upper-Middle,63,17,28364.0,234,9,Loyal Customer
4047,1954,60,Baby Boomers,Doctoral,Married,65324.0,0,1,3,2014-01-11,0,384,0,102,21,32,5,12288,0,510,178.5,72.64,50,13099.14,544,3,6,2,9,4,20,0,0,0,0,0,0,0,0,Never accepted promos,Upper-Middle,0,20,13099.14,433,10,Loyal Customer
1409,1951,63,Baby Boomers,Bachelor,Cohabitation,40689.0,0,1,3,2013-03-18,69,270,3,27,39,6,99,8640,12,135,331.5,13.620000000000001,990,10122.12,444,7,7,1,5,8,20,0,0,0,0,0,0,0,0,Never accepted promos,Lower-Middle,69,20,10122.12,233,8,Promising Customer
7892,1969,45,Gen X,Bachelor,Single,18589.0,0,0,1,2013-01-02,89,6,4,25,15,12,13,192,16,125,127.5,27.240000000000002,130,617.74,75,2,2,1,3,7,8,0,0,0,0,0,0,0,0,Never accepted promos,Lower,89,8,617.74,121,4,Need Attention
2404,1976,38,Millennials,Bachelor,Married,53359.0,1,1,4,2013-05-27,4,173,4,30,3,6,41,5536,16,150,25.5,13.620000000000001,410,6151.12,257,4,5,1,4,7,14,0,0,0,0,0,0,0,0,Never accepted promos,Upper-Middle,4,14,6151.12,432,9,Loyal Customer
5255,1986,28,Millennials,Bachelor,Single,42160.0,1,0,2,2013-02-20,19,5,1,3,3,263,362,160,4,15,25.5,597.01,3620,4421.51,637,0,27,0,0,1,27,0,0,0,0,0,0,0,0,Never accepted promos,Upper,19,27,4421.51,402,6,Need Attention
9422,1989,25,Gen Z,Bachelor,Married,38360.0,1,0,3,2013-05-31,26,36,2,42,20,21,10,1152,8,210,170.0,47.67,100,1687.67,131,2,2,1,4,3,9,0,0,0,0,0,0,0,0,Never accepted promos,Lower-Middle,26,9,1687.67,322,7,Promising Customer
1966,1965,49,Gen X,Doctoral,Married,84618.0,0,0,2,2013-11-22,96,684,100,801,21,66,0,21888,400,4005,178.5,149.82,0,26621.32,1672,1,6,9,10,2,26,0,0,1,0,0,0,1,0,Accepted promos,Upper,96,26,26621.32,104,5,Need Attention
6864,1989,25,Gen Z,Master,Divorced,10979.0,0,0,1,2014-05-22,34,8,4,10,2,2,4,256,16,50,17.0,4.54,40,383.54,30,2,3,0,3,5,8,0,0,0,0,0,0,0,0,Never accepted promos,Lower,34,8,383.54,321,6,Need Attention
3033,1963,51,Gen X,Master,Cohabitation,38620.0,0,0,2,2013-05-11,56,112,17,44,34,22,89,3584,68,220,289.0,49.94,890,5100.94,318,1,2,5,3,3,11,0,0,0,0,0,0,0,0,Never accepted promos,Lower-Middle,56,11,5100.94,232,7,Promising Customer
5710,1970,44,Gen X,Bachelor,Cohabitation,40548.0,0,1,3,2012-10-10,31,110,0,5,2,0,3,3520,0,25,17.0,0.0,30,3592.0,120,2,2,1,4,5,9,0,1,0,0,0,0,1,0,Accepted promos,Lower-Middle,31,9,3592.0,322,7,Promising Customer
7373,1952,62,Baby Boomers,Doctoral,Divorced,46610.0,0,2,3,2012-10-29,8,96,12,96,33,22,43,3072,48,480,280.5,49.94,430,4360.4400000000005,302,6,4,1,6,6,17,0,0,0,0,0,0,1,1,Accepted promos,Lower-Middle,8,17,4360.4400000000005,432,9,Loyal Customer
8755,1946,68,Baby Boomers,Master,Married,68657.0,0,0,2,2013-02-20,4,482,34,471,119,68,22,15424,136,2355,1011.5,154.36,220,19300.86,1196,1,3,5,9,7,18,0,0,0,0,0,0,0,0,Never accepted promos,Upper,4,18,19300.86,434,11,Champions Customer
10738,1951,63,Baby Boomers,Master,Single,49389.0,1,1,3,2013-08-29,55,40,0,19,2,1,3,1280,0,95,17.0,2.27,30,1424.27,65,1,2,0,3,7,6,0,0,0,0,0,0,0,0,Never accepted promos,Lower-Middle,55,6,1424.27,222,6,Need Attention
4339,1970,44,Gen X,Doctoral,Married,67353.0,0,1,3,2013-12-31,37,702,17,151,0,8,35,22464,68,755,0.0,18.16,350,23655.16,913,5,5,6,12,2,28,0,0,0,0,0,0,0,0,Never accepted promos,Upper-Middle,37,28,23655.16,304,7,Promising Customer
10755,1976,38,Millennials,Master,Married,23718.0,1,0,3,2013-09-02,76,6,3,14,15,7,36,192,12,70,127.5,15.89,360,777.39,81,3,3,1,2,7,9,0,0,0,0,0,0,0,0,Never accepted promos,Lower,76,9,777.39,121,4,Need Attention
8595,1973,41,Millennials,Bachelor,Divorced,42429.0,0,1,2,2014-02-11,99,55,0,6,2,0,4,1760,0,30,17.0,0.0,40,1847.0,67,2,1,1,3,5,7,0,0,0,0,0,0,0,0,Never accepted promos,Lower-Middle,99,7,1847.0,122,5,Need Attention
2968,1943,71,Baby Boomers,Doctoral,Divorced,48948.0,0,0,1,2013-02-01,53,437,8,206,160,49,42,13984,32,1030,1360.0,111.23,420,16937.23,902,2,7,10,5,6,24,1,0,0,0,0,0,2,1,Accepted promos,Lower-Middle,53,24,16937.23,203,5,Need Attention
8601,1980,34,Millennials,Bachelor,Married,80011.0,0,1,3,2013-04-29,3,421,76,536,82,178,102,13472,304,2680,697.0,404.06,1020,18577.06,1395,2,8,6,5,4,21,0,0,0,0,0,0,0,0,Never accepted promos,Upper,3,21,18577.06,403,7,Promising Customer
503,1985,29,Millennials,Master,Married,20559.0,1,0,3,2013-03-12,88,13,1,29,3,0,7,416,4,145,25.5,0.0,70,660.5,53,2,2,0,3,8,7,0,0,0,0,0,0,0,0,Never accepted promos,Lower,88,7,660.5,121,4,Need Attention
8430,1957,57,Gen X,Bachelor,Cohabitation,21994.0,0,1,3,2012-12-24,4,9,0,6,3,1,3,288,0,30,25.5,2.27,30,375.77,22,1,0,0,3,5,4,0,0,0,0,0,0,0,0,Never accepted promos,Lower,4,4,375.77,411,6,Need Attention
7281,1959,55,Gen X,Doctoral,Single,48918.0,0,0,1,2013-11-05,80,81,11,50,3,2,39,2592,44,250,25.5,4.54,390,3306.04,186,1,1,3,4,2,9,0,0,0,0,0,0,0,0,Never accepted promos,Upper,80,9,3306.04,122,5,Need Attention
2139,1975,39,Millennials,Master,Married,7500.0,1,0,3,2013-10-02,19,3,1,10,3,2,12,96,4,50,25.5,4.54,120,300.03999999999996,31,3,2,0,3,5,8,0,0,0,0,0,0,0,0,Never accepted promos,Lower,19,8,300.04,421,7,Promising Customer
1371,1976,38,Millennials,Bachelor,Single,79941.0,0,0,1,2014-06-28,72,123,164,266,227,30,174,3936,656,1330,1929.5,68.1,1740,9659.6,984,1,2,4,9,1,16,0,0,0,0,0,0,0,0,Never accepted promos,Upper,72,16,9659.6,233,8,Promising Customer
9909,1996,18,Gen Z,Master,Married,7500.0,0,0,2,2012-11-09,24,3,18,14,15,22,50,96,72,70,127.5,49.94,500,915.44,122,3,3,1,3,9,10,0,0,0,0,0,0,1,1,Accepted promos,Lower,24,10,915.44,421,7,Promising Customer
7286,1968,46,Gen X,Bachelor,Cohabitation,41728.0,1,0,3,2013-05-24,92,13,6,15,3,5,13,416,24,75,25.5,11.35,130,681.85,55,1,2,0,2,10,5,0,0,0,0,0,0,0,0,Never accepted promos,Lower-Middle,92,5,681.85,111,3,Almost Lost Customer
7244,1951,63,Baby Boomers,Bachelor,Single,60689.0,2,1,4,2014-01-01,96,48,5,48,6,10,7,1536,20,240,51.0,22.7,70,1939.7,124,3,2,1,4,6,10,0,0,0,0,0,0,0,0,Never accepted promos,Upper,96,10,1939.7,122,5,Need Attention
6566,1954,60,Baby Boomers,Doctoral,Married,72550.0,1,1,4,2012-11-08,39,826,50,317,50,38,38,26432,200,1585,425.0,86.26,380,29108.26,1319,9,5,2,12,8,28,0,0,0,0,0,0,0,0,Never accepted promos,Upper,39,28,29108.26,304,7,Promising Customer
8614,1957,57,Gen X,Bachelor,Divorced,65486.0,0,1,2,2014-05-12,29,245,19,125,37,67,14,7840,76,625,314.5,152.09,140,9147.59,507,1,4,2,10,2,17,0,0,0,0,0,0,0,0,Never accepted promos,Upper-Middle,29,17,9147.59,333,9,Loyal Customer
4114,1964,50,Gen X,Master,Married,79143.0,0,0,2,2012-08-11,2,650,37,780,27,167,32,20800,148,3900,229.5,379.09,320,25776.59,1693,1,6,9,13,3,29,0,0,0,0,0,0,0,0,Never accepted promos,Upper,2,29,25776.59,404,8,Promising Customer
1331,1977,37,Millennials,Bachelor,Single,35790.0,1,0,2,2013-01-02,54,12,6,20,30,1,3,384,24,100,255.0,2.27,30,795.27,72,2,2,0,3,7,7,0,0,0,0,0,0,0,0,Never accepted promos,Lower-Middle,54,7,795.27,221,5,Need Attention
2225,1977,37,Millennials,Bachelor,Divorced,82582.0,0,0,1,2014-06-07,54,510,120,550,156,40,241,16320,480,2750,1326.0,90.8,2410,23376.8,1617,1,4,9,7,1,21,1,0,0,1,0,0,3,1,Accepted promos,Upper,54,21,23376.8,204,6,Need Attention
9381,1978,36,Millennials,Bachelor,Married,66373.0,1,1,4,2013-06-12,57,328,9,124,12,24,109,10496,36,620,102.0,54.480000000000004,1090,12398.48,606,7,4,2,10,3,23,0,0,0,0,0,0,0,0,Never accepted promos,Upper-Middle,57,23,12398.48,203,5,Need Attention
6260,1955,59,Gen X,Master,Cohabitation,82384.0,0,0,2,2012-11-19,55,984,51,432,180,120,190,31488,204,2160,1530.0,272.4,1900,37554.4,1957,1,3,10,13,1,27,0,0,1,0,0,0,2,1,Accepted promos,Upper,55,27,37554.4,204,6,Need Attention
10383,1966,48,Gen X,Bachelor,Divorced,70287.0,0,0,1,2013-04-02,30,295,35,482,121,120,40,9440,140,2410,1028.5,272.4,400,13690.9,1093,1,5,5,10,3,21,0,0,0,0,0,0,1,1,Accepted promos,Upper,30,21,13690.9,303,6,Need Attention
7437,1988,26,Gen Z,Bachelor,Single,27938.0,1,0,2,2014-04-28,31,13,0,8,2,1,5,416,0,40,17.0,2.27,50,525.27,29,1,1,0,4,3,6,0,0,0,0,0,0,0,0,Never accepted promos,Lower,31,6,525.27,321,6,Need Attention
8557,1982,32,Millennials,Bachelor,Single,42160.0,1,0,2,2013-06-17,57,11,3,22,2,2,6,352,12,110,17.0,4.54,60,555.54,46,2,2,0,3,6,7,0,0,0,0,0,0,0,0,Never accepted promos,Upper,57,7,555.54,221,5,Need Attention
8375,1968,46,Gen X,Doctoral,Married,55954.0,0,1,3,2014-03-03,63,447,0,28,0,0,43,14304,0,140,0.0,0.0,430,14874.0,518,3,8,2,6,7,19,0,0,0,0,0,0,0,0,Never accepted promos,Upper-Middle,63,19,14874.0,233,8,Promising Customer
6853,1982,32,Millennials,Master,Single,75777.0,0,0,1,2013-07-04,12,712,26,538,69,13,80,22784,104,2690,586.5,29.51,800,26994.01,1438,1,3,6,11,1,21,0,1,1,0,0,0,3,1,Accepted promos,Upper,12,21,26994.01,404,8,Promising Customer
3076,1975,39,Millennials,Bachelor,Cohabitation,66653.0,1,1,4,2012-09-07,18,452,18,102,16,18,6,14464,72,510,136.0,40.86,60,15282.86,612,4,4,2,12,3,22,0,0,0,0,0,0,0,0,Never accepted promos,Upper-Middle,18,22,15282.86,403,7,Promising Customer
1012,1952,62,Baby Boomers,Bachelor,Single,61823.0,0,1,2,2013-02-18,26,523,7,134,37,14,169,16736,28,670,314.5,31.78,1690,19470.28,884,4,8,2,10,7,24,0,0,0,0,0,0,0,0,Never accepted promos,Upper-Middle,26,24,19470.28,304,7,Promising Customer
6518,1951,63,Baby Boomers,Doctoral,Divorced,67680.0,0,1,2,2013-06-11,8,546,0,48,0,6,6,17472,0,240,0.0,13.620000000000001,60,17785.62,606,1,7,3,8,5,19,0,0,0,0,0,0,0,0,Never accepted promos,Upper-Middle,8,19,17785.62,433,10,Loyal Customer
4137,1948,66,Baby Boomers,Bachelor,Cohabitation,70666.0,0,0,2,2013-12-06,29,398,40,367,119,122,30,12736,160,1835,1011.5,276.94,300,16319.44,1076,1,7,4,4,4,16,0,0,0,0,0,0,0,0,Never accepted promos,Upper,29,16,16319.44,333,9,Loyal Customer
8082,1971,43,Millennials,Bachelor,Married,25721.0,1,0,3,2013-05-21,75,1,3,6,3,6,15,32,12,30,25.5,13.620000000000001,150,263.12,34,1,1,1,2,7,5,0,0,0,0,0,0,1,1,Accepted promos,Lower,75,5,263.12,111,3,Almost Lost Customer
1386,1967,47,Gen X,Bachelor,Cohabitation,32474.0,1,1,4,2014-05-11,0,10,0,1,0,0,0,320,0,5,0.0,0.0,0,325.0,11,1,1,0,2,7,4,0,0,0,0,0,0,0,0,Never accepted promos,Lower,0,4,325.0,411,6,Need Attention
9369,1979,35,Millennials,Master,Single,88194.0,0,1,2,2014-03-19,19,688,14,309,201,24,38,22016,56,1545,1708.5,54.480000000000004,380,25759.98,1274,1,11,10,10,5,32,1,0,0,1,0,0,3,1,Accepted promos,Upper,19,32,25759.98,404,8,Promising Customer
4477,1958,56,Gen X,Bachelor,Cohabitation,69096.0,0,1,3,2013-09-27,4,247,49,159,7,82,109,7904,196,795,59.5,186.14000000000001,1090,10230.64,653,1,5,2,10,4,18,0,0,0,0,0,0,0,0,Never accepted promos,Upper,4,18,10230.64,433,10,Loyal Customer
1357,1970,44,Gen X,Bachelor,Cohabitation,74854.0,1,2,5,2013-04-08,90,856,59,487,58,29,73,27392,236,2435,493.0,65.83,730,31351.83,1562,7,2,5,5,5,19,0,0,0,0,0,0,0,0,Never accepted promos,Upper,90,19,31351.83,134,8,Promising Customer
1402,1954,60,Baby Boomers,Master,Married,66991.0,0,0,2,2012-09-11,1,496,36,460,189,60,12,15872,144,2300,1606.5,136.2,120,20178.7,1253,3,4,8,6,3,21,0,0,0,0,0,0,0,0,Never accepted promos,Upper-Middle,1,21,20178.7,404,8,Promising Customer
10629,1973,41,Millennials,Master,Married,38576.0,1,0,3,2012-09-14,25,25,3,43,17,4,17,800,12,215,144.5,9.08,170,1350.58,109,3,3,0,3,8,9,0,0,0,0,0,0,0,0,Never accepted promos,Upper,25,9,1350.58,322,7,Promising Customer
6312,1959,55,Gen X,Bachelor,Married,65031.0,0,1,3,2013-03-17,29,258,107,291,84,37,86,8256,428,1455,714.0,83.99,860,11796.99,863,4,10,3,13,7,30,0,0,0,0,0,0,0,0,Never accepted promos,Upper-Middle,29,30,11796.99,303,6,Need Attention
8132,1975,39,Millennials,Doctoral,Married,60631.0,1,1,4,2013-04-05,88,565,6,65,0,6,19,18080,24,325,0.0,13.620000000000001,190,18632.62,661,5,9,2,8,7,24,0,1,0,0,0,0,1,0,Accepted promos,Upper-Middle,88,24,18632.62,103,4,Need Attention
1050,1952,62,Baby Boomers,Bachelor,Married,28332.0,0,0,2,2014-04-30,58,14,10,13,4,15,9,448,40,65,34.0,34.05,90,711.05,65,1,2,1,4,2,8,0,0,0,0,0,0,0,0,Never accepted promos,Lower,58,8,711.05,221,5,Need Attention
5846,1977,37,Millennials,Bachelor,Divorced,40246.0,1,0,2,2012-12-19,68,2,1,6,2,1,1,64,4,30,17.0,2.27,10,127.27,13,1,1,0,2,6,4,0,0,0,0,0,0,0,0,Never accepted promos,Lower-Middle,68,4,127.27,211,4,Need Attention
1859,1972,42,Millennials,Master,Married,75251.0,0,0,2,2012-08-27,34,721,111,925,97,18,18,23072,444,4625,824.5,40.86,180,29186.36,1890,1,7,6,5,5,19,0,0,0,0,0,0,1,1,Accepted promos,Upper,34,19,29186.36,334,10,Loyal Customer
7503,1976,38,Millennials,Bachelor,Single,75825.0,0,0,1,2012-10-12,40,1032,105,779,137,105,51,33024,420,3895,1164.5,238.35,510,39251.85,2209,0,5,8,9,4,22,1,0,0,0,0,0,2,1,Accepted promos,Upper,40,22,39251.85,304,7,Promising Customer
10401,1976,38,Millennials,Master,Cohabitation,26326.0,0,0,2,2013-09-04,12,1,0,5,0,3,9,32,0,25,0.0,6.8100000000000005,90,153.81,18,1,0,0,3,3,4,0,0,0,0,0,1,0,0,Never accepted promos,Lower,12,4,153.81,411,6,Need Attention
1618,1965,49,Gen X,Bachelor,Cohabitation,56046.0,0,0,2,2013-01-02,9,577,0,64,0,0,51,18464,0,320,0.0,0.0,510,19294.0,692,2,10,1,8,8,21,1,0,0,0,0,0,2,1,Accepted promos,Upper-Middle,9,21,19294.0,404,8,Promising Customer
3332,1985,29,Millennials,Bachelor,Single,29760.0,1,0,2,2012-08-29,87,64,4,68,7,5,17,2048,16,340,59.5,11.35,170,2644.85,165,4,3,1,4,8,12,0,0,0,0,0,0,0,0,Never accepted promos,Lower,87,12,2644.85,132,6,Need Attention
2261,1969,45,Gen X,Bachelor,Married,26304.0,1,0,3,2013-06-23,5,4,1,5,2,0,4,128,4,25,17.0,0.0,40,214.0,16,1,1,0,2,7,4,0,0,0,0,0,0,0,0,Never accepted promos,Lower,5,4,214.0,411,6,Need Attention
5346,1973,41,Millennials,Master,Married,23559.0,1,0,3,2013-07-03,87,25,5,19,7,0,23,800,20,95,59.5,0.0,230,1204.5,79,3,3,0,3,7,9,0,0,0,0,0,0,0,0,Never accepted promos,Lower,87,9,1204.5,122,5,Need Attention
4119,1963,51,Gen X,Master,Cohabitation,38620.0,0,0,2,2013-05-11,56,112,17,44,34,22,89,3584,68,220,289.0,49.94,890,5100.94,318,1,2,5,3,3,11,0,0,0,0,0,0,0,0,Never accepted promos,Lower-Middle,56,11,5100.94,232,7,Promising Customer
535,1987,27,Gen Z,Bachelor,Divorced,81361.0,0,0,1,2014-02-25,18,163,23,424,27,65,76,5216,92,2120,229.5,147.55,760,8565.05,778,1,3,10,13,1,27,0,0,0,0,0,0,0,0,Never accepted promos,Upper,18,27,8565.05,403,7,Promising Customer
5268,1960,54,Gen X,Bachelor,Married,29440.0,1,1,4,2013-08-11,95,17,8,14,10,4,3,544,32,70,85.0,9.08,30,770.08,56,2,1,0,4,7,7,0,0,0,0,0,0,0,0,Never accepted promos,Lower,95,7,770.08,121,4,Need Attention
273,1970,44,Gen X,Master,Married,36138.0,1,1,4,2013-07-16,48,130,0,16,0,0,5,4160,0,80,0.0,0.0,50,4290.0,151,5,3,1,4,7,13,0,1,0,0,0,0,1,0,Accepted promos,Lower-Middle,48,13,4290.0,332,8,Promising Customer
4452,1957,57,Gen X,Bachelor,Single,50388.0,0,1,2,2014-05-28,3,292,6,37,0,3,34,9344,24,185,0.0,6.8100000000000005,340,9899.81,372,4,6,1,6,7,17,0,1,0,1,0,0,3,1,Accepted promos,Lower-Middle,3,17,9899.81,433,10,Loyal Customer
8504,1973,41,Millennials,Bachelor,Married,79593.0,0,0,2,2014-05-12,70,350,60,568,110,133,145,11200,240,2840,935.0,301.91,1450,16966.91,1366,1,5,6,7,2,19,0,0,1,0,0,0,1,0,Accepted promos,Upper,70,19,16966.91,233,8,Promising Customer
771,1967,47,Gen X,Bachelor,Cohabitation,54178.0,0,1,3,2014-01-21,79,135,9,39,4,0,7,4320,36,195,34.0,0.0,70,4655.0,194,1,2,2,5,2,10,0,0,0,0,0,0,0,0,Never accepted promos,Upper-Middle,79,10,4655.0,122,5,Need Attention
8996,1957,57,Gen X,Doctoral,Married,57072.0,2,1,5,2012-11-19,4,230,42,192,49,37,53,7360,168,960,416.5,83.99,530,9518.49,603,12,7,2,8,9,29,0,0,0,0,0,0,0,0,Never accepted promos,Upper,4,29,9518.49,403,7,Promising Customer
9235,1957,57,Gen X,Bachelor,Single,57099.0,1,1,3,2014-05-27,45,7,0,8,2,0,1,224,0,40,17.0,0.0,10,291.0,18,1,1,0,2,7,4,0,0,0,0,0,0,0,0,Never accepted promos,Upper,45,4,291.0,311,5,Need Attention
5798,1973,41,Millennials,Master,Cohabitation,42033.0,0,0,2,2013-11-23,87,445,37,359,98,28,18,14240,148,1795,833.0,63.56,180,17259.56,985,1,2,4,8,1,15,0,0,0,0,0,0,0,0,Never accepted promos,Upper,87,15,17259.56,133,7,Promising Customer
11178,1972,42,Millennials,Master,Single,42394.0,1,0,2,2014-03-23,69,15,2,10,0,1,4,480,8,50,0.0,2.27,40,580.27,32,1,1,0,3,7,5,0,0,0,0,0,0,0,0,Never accepted promos,Lower-Middle,69,5,580.27,211,4,Need Attention
